Word	Frequency	Diversity	Clusters	Density	Synsets	WikiFreq
polish	30	0.3737485268140899	5	0.4381013192336601	8	1680
tick	4	0.2593157683105209	2	0.40330581114297215	8	3603
tug	4	0.20136213847001128	1	0.6864249339290236	9	15340
directory	3	0.15788086815095292	2	0.7240803741996912	2	17504
motif	8	0.23404721778424145	2	0.42810109767759863	3	51
headline	5	0.19185969539462816	2	0.537591243777258	3	4761
flock	8	0.23411277311539347	3	0.5111608443804263	7	3473
ranking	4	0.12850120605208246	2	0.7739906007474879	5	243
outer	5	0.17704615242024124	2	0.6831333547180436	13	13549
disturbance	5	0.1302653613768852	2	0.5755040138640861	7	2350
persuade	35	0.2706353651909833	7	0.4917831056030669	2	191
argue	88	0.1812160947262156	18	0.46846936962576374	3	911
composition	19	0.22687885191313137	5	0.4517485428260006	9	23092
congenial	3	0.1948944628085089	2	0.6135762208178925	2	898
wales	18	0.17878406346926046	7	0.5987710599119538	3	206028
thatcherism	9	0.14770447364891906	3	0.5346679384531257	1	303
call	232	0.38416160502803437	31	0.3631645377128972	41	151
dish	5	0.2420524929475855	3	0.5771138058571067	8	65
understand	140	0.25225327268554043	21	0.39482411679183355	5	72
vandalism	5	0.12367503004299918	3	0.5125154659353969	1	493
repair	9	0.22247606742511536	5	0.521016268638623	8	5109
glee	3	0.17727974956587442	2	0.6415306432071061	2	2289
acceptance	8	0.15581078992871383	3	0.47893513474131255	7	2616
workbench	3	0.13127306799138969	2	0.8036346287046741	1	32
bother	11	0.19072238684828238	3	0.4174692164409421	8	118
toxic	10	0.1871728491136629	3	0.5135963386422664	1	4989
tory	38	0.22759429602724102	9	0.4495905633071833	3	166
sur	12	0.10314278929749572	4	0.5928283993484402	1	31
envy	3	0.22281155653110254	2	0.7531799162783179	4	43
catalyst	3	0.17518511097703462	2	0.6910602576365795	2	58
prove	51	0.2211116974257995	9	0.4481900531863392	9	43
canon	12	0.21054387733106938	2	0.4295378987726053	6	28461
creation	35	0.2647662207233333	7	0.5205241530504883	6	3471
uncommitted	6	0.07304398343410635	3	0.9121382805511318	3	32
polar	3	0.1423475590541731	2	0.8230146554458355	6	13608
friday	29	0.19337032469090895	5	0.4150044729102565	1	41573
hospital	24	0.2332165183981607	5	0.40261169169981115	2	234855
goat	4	0.13859928447111908	2	0.6674624551301553	4	68
privatization	4	0.12605646355857525	2	0.7176391489597423	1	1185
theology	6	0.13273804537469544	2	0.6095111523927769	3	23419
pessimist	4	0.11055807904115278	2	0.6999352351965558	1	133
convert	20	0.31508387763313606	5	0.40590216314479394	12	120
discuss	46	0.26539437901425084	8	0.4697950690902528	4	232
clench	8	0.15372097368709425	3	0.4681081079921581	4	943
declare	48	0.2803993715223247	11	0.4529509892827487	8	56
sharpen	12	0.21422282128984219	4	0.4162986304548119	8	318
fillip	3	0.01931228821597164	2	0.9471679232445275	1	110
awkward	11	0.25972252532876566	3	0.5007268050897357	6	1089
paw	3	0.15163408648201263	2	0.6114239531542244	4	31
necessary	97	0.24509671203114494	22	0.44767786325799014	3	30
ali	4	0.1348086598019923	2	0.6325399945116352	2	46
lifelong	5	0.17203535534476122	3	0.5283531744825648	1	1748
split	14	0.3094169025157103	3	0.5097309890001792	18	924
approach	121	0.30473120683514	22	0.4309117541937503	14	1478
viii	3	0.074512283573502	2	0.7028432264578436	2	1226
scrap	10	0.25832942197537856	3	0.4141398413690871	7	4918
tonne	3	0.1134249708090969	2	0.8183361597408918	1	228
photographic	3	0.16721506265291441	2	0.5746831322520577	2	9409
rating	14	0.1581252840650666	5	0.5326572168792248	13	1922
bad	124	0.28914927087717734	18	0.41332066011037377	17	478
manchester	24	0.2957566902255328	9	0.3939058138808478	2	33
hysterical	6	0.2300872647784973	3	0.40311498822705144	2	431
softer	3	0.1302276039250432	2	0.5638880397716137	19	234
inca	4	0.08673842493681475	2	0.6618508504995486	3	173
transit	3	0.15145721960727107	2	0.43880882792979764	7	65
holly	3	0.07510619297629513	2	0.6516472985959824	2	1667
string	11	0.22143158847414532	4	0.52995026436065	17	2381
biographer	6	0.1455003597315989	3	0.4395375677005138	1	1503
conjunction	4	0.11049990742064408	2	0.6237870744678892	6	696
province	10	0.22529835973179982	3	0.6456630995544463	2	583171
folly	3	0.15852962397551074	2	0.6716420813196922	4	4607
breast	8	0.17262085036310698	4	0.3335706043227514	7	62
suffice	3	0.13122800965333917	2	0.7334195400839609	1	91
key	40	0.31814831118554415	10	0.48727760480169036	21	906
systems	5	0.15620416293351574	3	0.6178821793604778	9	30
prudence	3	0.10833340747407334	2	0.5768705816736531	2	4372
importantly	6	0.18985721596674576	2	0.5088563720350076	2	1409
malaysia	3	0.08519030736140105	2	0.7133861311939302	1	126887
accentuate	5	0.15741870452696669	3	0.7216755336376426	2	96
zero	4	0.18997250207608837	2	0.6317105840085352	10	61
thatcherite	6	0.2558276552434824	2	0.6348753739232618	1	219
deflection	4	0.19810137081588125	2	0.6527236676492996	5	285
regular	29	0.33959514729792284	6	0.41581809057641267	17	912
proof	14	0.1939945989785106	5	0.4613073551400295	12	809
whisky	6	0.18895820293817778	3	0.576629323963303	1	127
spiral	3	0.1373336693658003	2	0.6412606908691338	10	7083
six	66	0.37478594844840085	13	0.35540047150753845	3	181
postal	5	0.1903668366223938	3	0.5359543023369181	1	18831
maxwell	7	0.26448788372550475	4	0.542276589642611	2	42083
entire	52	0.3674891206648174	9	0.4657943374562451	5	353263
ascertain	3	0.13449969825676047	2	0.8187896939981338	4	100
animate	6	0.20875223720773003	2	0.5515359986107589	7	14449
aisle	3	0.11501867846701304	2	0.720764334552778	3	330
curate	3	0.15628773197134052	2	0.5826631924058748	1	4046
dispose	5	0.14710688017377535	3	0.5367459897832539	5	414
side	178	0.2850878561741498	29	0.4198563220024586	14	558
stamp	28	0.28179506337430876	6	0.43925574428197933	18	112
spending	9	0.11502152174085767	4	0.5883571544637305	5	2280
rubbish	10	0.2254107685025149	3	0.4604867684496334	3	667
publicity	15	0.22100039665222046	4	0.4297035753779187	2	27086
redress	3	0.0826659369242146	2	0.8427594326641089	3	502
willis	3	0.11491906491776645	2	0.693017786454551	1	31660
slack	3	0.205330539141763	2	0.446086928557725	17	2716
fossil	3	0.1862316197238019	2	0.608127228839296	3	13837
conservatism	5	0.13195271650132007	2	0.6065018029691083	1	1318
grind	10	0.17971687576190387	5	0.47449892165909896	11	3335
dome	3	0.1591735769407818	2	0.6326008434735775	4	156
evaporate	3	0.08524777449290966	2	0.7571533148892917	4	103
criticise	9	0.17594189697355292	3	0.5314161130971499	2	159
scot	8	0.2214793322113296	3	0.6300996489975381	1	159
conscious	14	0.265778769405109	3	0.40661995049055005	3	17774
lea	6	0.17337673353703928	3	0.8364607782050695	2	66
cerebral	6	0.10773010071542459	3	0.576110910862702	2	2341
accurate	28	0.27608468024940186	4	0.43976180141771176	2	64132
former	81	0.40171129604310535	16	0.46989223866075824	5	144
borrow	22	0.2668169664008606	5	0.3974110606987582	2	1180
function	50	0.2980901316300016	11	0.49218916053125367	10	418
interminable	3	0.17518208242074854	2	0.5237233549754916	1	469
poetic	8	0.20484239397189444	3	0.5135239567304429	4	4703
complexion	5	0.13996150831068915	3	0.44948693637788734	6	68
virtue	7	0.1687668433607044	3	0.46383760414431374	4	6265
scheme	90	0.2496673695644445	17	0.4022547126899162	7	1859
africa	29	0.2176899184597947	6	0.4225502590877747	1	842
debut	5	0.24949087587275653	2	0.5501092525673876	5	16009
